alt,callsign,dest_iata,dest_icao,eta,flight,fr24_id,gspeed,hex,lat,lon,operating_as,orig_iata,orig_icao,painted_as,reg,source,squawk,timestamp,track,type,vspeed,target_type_secondary
1775,N425JB,,,,,26ed7577,134,A50EFC,24.58182,-81.75217,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:15:19Z,340,C425,1728,Cessna 425 Conquest I
2075,N425JB,,,,,26ed7577,143,A50EFC,24.58905,-81.75481,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:15:31Z,342,C425,1408,Cessna 425 Conquest I
700,N7336J,,,,,26ed7111,112,A9D963,24.53983,-81.76823,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:15:30Z,276,P28A,-64,PIPER PA-28-140/150/160/180
2300,N425JB,,,,,26ed7577,151,A50EFC,24.59523,-81.75684,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:15:40Z,342,C425,1856,Cessna 425 Conquest I
700,N7336J,,,,,26ed7111,116,A9D963,24.54001,-81.77352,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:15:39Z,270,P28A,576,PIPER PA-28-140/150/160/180
800,N7336J,,,,,26ed7111,111,A9D963,24.53925,-81.78091,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:15:52Z,259,P28A,512,PIPER PA-28-140/150/160/180
2725,N425JB,,,,,26ed7577,148,A50EFC,24.6032,-81.75974,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:15:52Z,340,C425,2304,Cessna 425 Conquest I
900,N7336J,,,,,26ed7111,112,A9D963,24.53894,-81.78275,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:15:55Z,258,P28A,320,PIPER PA-28-140/150/160/180
2975,N425JB,,,,,26ed7577,147,A50EFC,24.6077,-81.76181,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:16:00Z,334,C425,2176,Cessna 425 Conquest I
800,N7336J,,,,,26ed7111,123,A9D963,24.53759,-81.79047,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:16:09Z,259,P28A,64,PIPER PA-28-140/150/160/180
800,N7336J,,,,,26ed7111,128,A9D963,24.53659,-81.79672,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:16:19Z,260,P28A,-320,PIPER PA-28-140/150/160/180
800,N7336J,,,,,26ed7111,128,A9D963,24.53659,-81.79672,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:16:19Z,260,P28A,-320,PIPER PA-28-140/150/160/180
800,N7336J,,,,,26ed7111,128,A9D963,24.53489,-81.80938,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:16:37Z,263,P28A,128,PIPER PA-28-140/150/160/180
800,N7336J,,,,,26ed7111,126,A9D963,24.53429,-81.8171,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:16:50Z,265,P28A,-192,PIPER PA-28-140/150/160/180
700,N7336J,,,,,26ed7111,128,A9D963,24.53396,-81.82368,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:17:00Z,268,P28A,-320,PIPER PA-28-140/150/160/180
0,,,,,,26ed7a8c,20,A4C846,24.55527,-81.76019,SIL,EYW,KEYW,SIL,N407SV,ADSB,0,2021-02-26T15:16:59Z,270,AT46,0,Avions de Transport Regional ATR 42 600
700,N7336J,,,,,26ed7111,123,A9D963,24.53401,-81.8312,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:17:12Z,272,P28A,-128,PIPER PA-28-140/150/160/180
0,,,,,,26ed7a8c,20,A4C846,24.55526,-81.7615,SIL,EYW,KEYW,SIL,N407SV,ADSB,0,2021-02-26T15:17:11Z,270,AT46,0,Avions de Transport Regional ATR 42 600
700,N7336J,,,,,26ed7111,126,A9D963,24.53424,-81.83638,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:17:20Z,272,P28A,-448,PIPER PA-28-140/150/160/180
0,SIL75,MCO,KMCO,,3M75,26ed7a8c,18,A4C846,24.55524,-81.76243,SIL,EYW,KEYW,SIL,N407SV,ADSB,0,2021-02-26T15:17:20Z,270,AT46,0,Avions de Transport Regional ATR 42 600
600,N7336J,,,,,26ed7111,127,A9D963,24.53453,-81.84362,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:17:31Z,273,P28A,-256,PIPER PA-28-140/150/160/180
