$GPGSV,2,1,08,04,07,300,,10,12,166,24,16,12,196,,25,24,046,15*7A
$GPGSV,2,2,08,26,49,186,27,28,65,029,28,29,10,088,17,32,47,102,25*70
$GPGSV,2,1,08,04,07,300,,10,12,166,22,16,12,196,,25,24,046,15*7C
$GPGSV,2,2,08,26,49,186,27,28,65,029,27,29,10,088,17,32,47,102,24*7E
$GPGSV,2,1,08,04,07,300,,10,12,166,20,16,12,196,,25,24,046,13*78
$GPGSV,2,2,08,26,49,186,27,28,65,029,27,29,10,088,16,32,47,102,24*7F
$GPGSV,2,1,08,04,07,300,,10,12,166,21,16,12,196,,25,24,046,19*73
$GPGSV,2,2,08,26,49,186,30,28,65,029,27,29,10,088,16,32,47,102,26*7B
$GPGSV,2,1,08,04,07,300,,10,12,166,22,16,12,196,,25,24,046,22*78
$GPGSV,2,2,08,26,49,186,31,28,65,029,28,29,10,088,16,32,47,102,28*7B
$GPGSV,2,1,08,04,07,300,,10,12,166,23,16,12,196,,25,24,046,24*7F
$GPGSV,2,2,08,26,49,186,30,28,65,029,29,29,10,088,16,32,47,102,28*7B
$GPGSV,2,1,08,04,07,300,,10,12,166,25,16,12,196,,25,24,046,25*78
$GPGSV,2,2,08,26,49,186,29,28,65,029,29,29,10,088,15,32,47,102,27*7F
$GPGSV,2,1,08,04,07,300,,10,12,166,24,16,12,196,,25,24,046,25*79
$GPGSV,2,2,08,26,49,186,30,28,65,029,29,29,10,088,15,32,47,102,27*77
$GPGSV,2,1,08,04,07,300,,10,12,166,23,16,12,196,,25,24,046,24*7F
$GPGSV,2,2,08,26,49,186,30,28,65,029,29,29,10,088,16,32,47,102,26*75
$GPGSV,2,1,08,04,07,300,,10,12,166,22,16,12,196,,25,24,046,24*7E
$GPGSV,2,2,08,26,49,186,29,28,65,029,30,29,10,088,17,32,47,102,27*75
$GPGSV,2,1,08,04,07,300,,10,12,166,22,16,12,196,,25,24,046,22*78
$GPGSV,2,2,08,26,49,186,29,28,65,029,30,29,10,088,17,32,47,102,27*75
$GPGSV,2,1,08,04,07,300,,10,12,166,23,16,12,196,,25,24,046,22*79
$GPGSV,2,2,08,26,49,186,29,28,65,029,30,29,10,088,18,32,47,102,28*75
$GPGSV,2,1,08,04,07,300,,10,12,166,23,16,12,196,,25,24,046,21*7A
